Assists,Demos,Goals,MMR,MVP,MyTeamGoals,OtherTeamGoals,Playlist,Points,Ranked,Saves,Shots,Time,Timestamp,Win
0,0,4,819,1,5,2,Hoops,756,1,1,7,1636041770,17:02:50 11/04/21,1
1,0,4,819,1,5,3,Hoops,681,1,0,5,1636042284,17:11:24 11/04/21,1
0,0,1,828,0,2,3,Hoops,340,1,1,3,1636042696,17:18:16 11/04/21,0
0,0,2,818,0,4,3,Hoops,324,1,0,5,1636757618,23:53:38 11/12/21,1
0,0,2,828,1,3,2,Hoops,514,1,1,6,1636758133,00:02:13 11/13/21,1
1,0,2,837,0,4,5,Hoops,590,1,2,3,1636758607,00:10:07 11/13/21,0
0,0,4,828,1,5,4,Hoops,898,1,2,8,1636759159,00:19:19 11/13/21,1
1,0,0,1265,0,2,4,Doubles,232,0,1,2,1636759611,00:26:51 11/13/21,0
2,0,2,837,1,4,3,Hoops,730,1,3,3,1636764890,01:54:50 11/13/21,1
1,0,4,847,0,6,5,Hoops,727,1,0,6,1636765388,02:03:08 11/13/21,1
1,0,3,856,0,4,5,Hoops,687,1,1,4,1636765891,02:11:31 11/13/21,0
2,0,4,848,1,7,5,Hoops,899,1,1,9,1636766854,02:27:34 11/13/21,1
1,0,2,857,1,4,3,Hoops,488,1,0,5,1636773661,04:21:01 11/13/21,1
1,0,1,864,0,3,2,Hoops,409,1,1,4,1636774118,04:28:38 11/13/21,1
1,0,2,0,0,3,4,Hoops,444,1,0,4,1636776669,05:11:09 11/13/21,0
0,0,1,873,0,3,1,Hoops,214,1,0,4,1636787405,08:10:05 11/13/21,1
3,0,1,882,0,4,2,Hoops,513,1,1,5,1636788104,08:21:44 11/13/21,1
1,0,1,892,0,2,4,Hoops,322,1,1,2,1636792326,09:32:06 11/13/21,0
0,0,0,881,0,2,3,Hoops,278,1,2,1,1636792786,09:39:46 11/13/21,0
1,0,1,871,0,2,4,Hoops,316,1,0,2,1636793325,09:48:45 11/13/21,0
0,0,1,862,0,1,2,Hoops,364,1,1,3,1636793787,09:56:27 11/13/21,0
0,0,0,853,0,0,2,Hoops,168,1,1,2,1636794262,10:04:22 11/13/21,0
1,0,1,1214,0,3,2,Doubles,510,0,3,2,1636870083,07:08:03 11/14/21,1
0,0,1,1240,0,1,2,Doubles,481,0,1,5,1636870628,07:17:08 11/14/21,0
0,0,0,1213,0,0,1,Doubles,356,0,3,2,1636871018,07:23:38 11/14/21,0
1,0,1,1190,0,5,3,Doubles,328,0,0,2,1636871479,07:31:19 11/14/21,1
0,0,1,844,0,1,3,Hoops,232,1,0,4,1636872013,07:40:13 11/14/21,0
0,0,0,836,0,0,4,Hoops,82,1,0,3,1636957725,07:28:45 11/15/21,0
0,0,1,826,0,3,2,Hoops,212,1,0,3,1636958223,07:37:03 11/15/21,1
0,0,0,835,0,0,5,Hoops,132,1,1,2,1636958725,07:45:25 11/15/21,0
0,0,1,827,0,2,4,Hoops,329,1,1,3,1636959193,07:53:13 11/15/21,0
0,0,0,817,0,1,0,Hoops,100,1,0,3,1636988662,16:04:22 11/15/21,1
0,0,0,825,0,0,1,Hoops,314,1,3,2,1636989469,16:17:49 11/15/21,0
0,0,1,807,0,2,3,Hoops,365,1,1,3,1636989899,16:24:59 11/15/21,0
2,0,1,788,0,5,4,Hoops,381,1,1,1,1636993717,17:28:37 11/15/21,1
0,0,0,797,0,3,4,Hoops,142,1,0,1,1636994270,17:37:50 11/15/21,0
2,0,1,788,1,4,2,Hoops,368,1,1,3,1636996712,18:18:32 11/15/21,1
0,0,2,797,1,2,1,Hoops,326,1,0,5,1636997126,18:25:26 11/15/21,1
0,0,3,806,0,4,5,Hoops,547,1,0,4,1636997868,18:37:48 11/15/21,0
0,0,0,796,0,3,4,Hoops,120,1,1,0,1636998436,18:47:16 11/15/21,0
1,0,0,787,0,2,4,Hoops,126,1,0,2,1636998862,18:54:22 11/15/21,0
0,0,2,778,0,2,4,Hoops,372,1,1,3,1636999281,19:01:21 11/15/21,0
1,0,0,769,0,2,4,Hoops,164,1,0,3,1637007601,21:20:01 11/15/21,0
1,0,2,1018,1,3,2,Doubles,862,1,3,3,1637123340,05:29:00 11/17/21,1
1,0,0,1027,0,1,4,Doubles,262,1,2,2,1637123790,05:36:30 11/17/21,0
1,0,2,1018,0,3,6,Doubles,593,1,3,3,1637124291,05:44:51 11/17/21,0
0,0,2,1008,0,4,3,Doubles,380,1,0,3,1637124730,05:52:10 11/17/21,1
0,0,0,1017,0,0,2,Doubles,318,1,3,2,1637125573,06:06:13 11/17/21,0
1,0,3,1167,1,5,4,Heatseeker Ricochet,780,0,2,7,1637284728,02:18:48 11/19/21,1
0,0,0,1189,0,3,4,Heatseeker Ricochet,153,0,1,1,1637285178,02:26:18 11/19/21,0
1,0,2,753,0,4,3,Hoops,506,1,1,4,1637285703,02:35:03 11/19/21,1
0,0,0,770,0,4,2,Hoops,235,1,1,2,1637286149,02:42:29 11/19/21,1
2,0,1,787,0,3,4,Hoops,380,1,1,4,1637291283,04:08:03 11/19/21,0
0,0,1,773,0,3,1,Hoops,362,1,2,1,1637305056,07:57:36 11/19/21,1
0,0,0,789,0,1,0,Hoops,94,1,0,2,1637305468,08:04:28 11/19/21,1
0,0,0,803,0,1,0,Hoops,226,1,1,5,1637305966,08:12:46 11/19/21,1
3,0,3,818,1,6,3,Hoops,702,1,0,4,1637335285,16:21:25 11/19/21,1
0,0,0,833,0,0,3,Hoops,158,1,1,2,1637336981,16:49:41 11/19/21,0
1,0,1,989,0,2,4,Doubles,371,1,1,2,1637368737,01:38:57 11/20/21,0
1,0,0,1157,0,4,0,Standard,100,0,0,2,1637371042,02:17:22 11/20/21,1
0,0,1,1181,0,2,1,Standard,248,0,1,1,1637371490,02:24:50 11/20/21,1
0,0,2,805,0,3,4,Hoops,362,1,0,3,1637377920,04:12:00 11/20/21,0
1,0,3,791,1,4,0,Hoops,610,1,1,3,1637378450,04:20:50 11/20/21,1
1,0,1,803,0,3,4,Hoops,322,1,0,4,1637379270,04:34:30 11/20/21,0
2,0,2,778,0,4,5,Hoops,571,1,1,7,1637729982,05:59:42 11/24/21,0
0,0,0,766,0,0,4,Hoops,80,1,0,1,1637730272,06:04:32 11/24/21,0
0,0,2,1198,0,4,3,Doubles,460,0,1,3,1637909315,07:48:35 11/26/21,1
2,0,0,972,0,2,3,Doubles,461,1,3,1,1637910562,08:09:22 11/26/21,0
1,0,0,752,0,2,3,Hoops,264,1,2,2,1637912161,08:36:01 11/26/21,0
1,0,3,741,1,5,1,Hoops,642,1,1,3,1637912700,08:45:00 11/26/21,1
